"transaction","items"
"1711","{sausage;root vegetables;other vegetables;whole milk;curd;yogurt;hard cheese;white bread}"
"1712","{meat;pork;onions;salad dressing;domestic eggs;white bread;flour;salt;bottled beer}"
"1713","{sausage;whole milk;yogurt;pastry;pudding powder;bottled water;soda;bottled beer;canned beer;male cosmetics;flower (seeds)}"
"1714","{citrus fruit}"
"1715","{chocolate;candy}"
"1716","{coffee}"
"1717","{sausage;tropical fruit;pip fruit;other vegetables;whole milk;curd;dessert;yogurt;whipped/sour cream;cream cheese ;brown bread;detergent}"
"1718","{beef;citrus fruit;tropical fruit;pip fruit;dessert;cream cheese ;rolls/buns;chocolate}"
"1719","{berries;other vegetables;butter milk;yogurt;sliced cheese;rolls/buns;soda}"
"1720","{frozen meals;oil;bottled water;bottled beer;flower (seeds)}"
"1721","{beef;herbs;whole milk}"
"1722","{sausage;meat;root vegetables;other vegetables;whole milk;butter milk;yogurt;pastry;waffles}"
"1723","{rolls/buns}"
"1724","{frankfurter;rolls/buns;fruit/vegetable juice}"
"1725","{sausage;pork;whole milk;yogurt;rolls/buns;brown bread;napkins;shopping bags}"
"1726","{pip fruit;whole milk;whipped/sour cream;baking powder}"
"1727","{grapes;whole milk;baking powder;candles;photo/film}"
"1728","{chocolate marshmallow}"
"1729","{coffee}"
"1730","{soda;white wine}"
"1731","{bottled beer;liquor;red/blush wine}"
"1732","{butter;cleaner}"
"1733","{fruit/vegetable juice;nut snack}"
"1734","{meat;specialty bar}"
"1735","{pip fruit;butter;curd;chocolate}"
"1736","{other vegetables;domestic eggs}"
"1737","{frankfurter;white bread;pastry;dog food;soda;shopping bags}"
"1738","{long life bakery product}"
"1739","{tropical fruit;whole milk;sliced cheese;mayonnaise;rolls/buns;mustard}"
"1740","{whole milk;white bread;salty snack}"
"1741","{canned beer}"
"1742","{canned beer}"
"1743","{other vegetables;whipped/sour cream;pastry;red/blush wine}"
"1744","{soda}"
"1745","{rolls/buns;soda;specialty bar;candy;newspapers}"
"1746","{bags}"
"1747","{rolls/buns}"
"1748","{dessert;frozen dessert}"
"1749","{canned beer}"
"1750","{butter;domestic eggs;pasta;fruit/vegetable juice;newspapers}"
"1751","{whole milk;butter;yogurt;frozen vegetables;domestic eggs;sugar}"
"1752","{canned beer}"
"1753","{coffee}"
"1754","{chicken;hamburger meat;pip fruit;onions;other vegetables;whole milk;butter;yogurt;whipped/sour cream;white bread;long life bakery product;chocolate}"
"1755","{soda;long life bakery product}"
"1756","{beef;other vegetables;domestic eggs;pastry}"
"1757","{spread cheese;pastry}"
"1758","{citrus fruit;tropical fruit;other vegetables;pot plants}"
"1759","{canned beer}"
"1760","{rolls/buns;soda}"
"1761","{pip fruit;roll products ;pot plants}"
"1762","{pip fruit}"
"1763","{whole milk;baking powder;bottled water;soda;cooking chocolate;candles}"
"1764","{chocolate}"
"1765","{sausage;whole milk;rolls/buns;canned beer}"
"1766","{pip fruit;whole milk}"
"1767","{other vegetables;rolls/buns}"
"1768","{dessert;sliced cheese;hard cheese;white bread;brown bread}"
"1769","{frankfurter}"
"1770","{citrus fruit;other vegetables;butter;candy}"
"1771","{citrus fruit;UHT-milk;napkins}"
"1772","{pip fruit;curd;soda;bottled beer;softener;hygiene articles}"
"1773","{tropical fruit;root vegetables;whole milk;curd;yogurt;frozen vegetables;domestic eggs}"
"1774","{frankfurter;other vegetables;whole milk;yogurt;condensed milk;cream cheese ;rolls/buns;pastry}"
"1775","{pip fruit;other vegetables;butter milk;frozen vegetables;brown bread;soups;sauces;fruit/vegetable juice;long life bakery product;cling film/bags}"
"1776","{canned beer}"
"1777","{pork;citrus fruit;soda;canned beer;chocolate;hygiene articles}"
"1778","{rolls/buns;newspapers}"
"1779","{canned beer}"
"1780","{citrus fruit;tropical fruit;pip fruit;other vegetables}"
"1781","{grapes;whole milk;white wine;dishes;newspapers}"
"1782","{tropical fruit}"
"1783","{frozen fish;hygiene articles;shopping bags}"
"1784","{tropical fruit;pastry;soda}"
"1785","{beverages;pastry}"
"1786","{sausage;pip fruit;whole milk;potato products}"
"1787","{whole milk}"
"1788","{sausage;specialty cheese;misc. beverages;bottled beer}"
"1789","{pork;white bread;pastry;shopping bags}"
"1790","{whole milk;rolls/buns;newspapers}"
"1791","{sausage;whole milk;dessert;spices;bottled beer}"
"1792","{pastry;soda}"
"1793","{soda}"
"1794","{tropical fruit;grapes;whole milk;canned fish;bottled water;fruit/vegetable juice}"
"1795","{whole milk;bottled water;napkins}"
"1796","{canned beer}"
"1797","{pip fruit;whole milk}"
"1798","{turkey;citrus fruit;tropical fruit;pip fruit;berries;root vegetables;herbs;whole milk;butter;frozen vegetables;sauces;pickled vegetables;bottled water;rubbing alcohol;hygiene articles;napkins;flower (seeds)}"
"1799","{yogurt;specialty chocolate;seasonal products}"
"1800","{whipped/sour cream;baking powder}"
"1801","{finished products;tropical fruit;bottled water;popcorn;shopping bags}"
"1802","{sausage;mayonnaise;misc. beverages;candy}"
"1803","{other vegetables;cream cheese ;rolls/buns}"
"1804","{newspapers}"
"1805","{white wine}"
"1806","{sausage;meat;pip fruit;other vegetables;yogurt;rolls/buns;brown bread;bottled water;soda;fruit/vegetable juice;newspapers}"
"1807","{misc. beverages}"
"1808","{yogurt;UHT-milk;soda;red/blush wine;waffles}"
"1809","{beef;frozen fish;rolls/buns;margarine}"
"1810","{other vegetables}"
"1811","{photo/film}"
"1812","{tropical fruit}"
"1813","{sausage;meat;tropical fruit;soda;hygiene articles}"
"1814","{frankfurter;citrus fruit;rolls/buns;flour;long life bakery product}"
"1815","{tropical fruit;pip fruit;root vegetables;whole milk;yogurt;rolls/buns;sweet spreads;cat food;pet care;hygiene articles;shopping bags}"
"1816","{citrus fruit;UHT-milk;zwieback;bottled water;hygiene articles}"
"1817","{pork;bottled water;bottled beer}"
"1818","{soda;house keeping products}"
"1819","{whole milk}"
"1820","{cookware}"
"1821","{butter;rolls/buns;newspapers}"
"1822","{frozen vegetables;sugar;coffee}"
"1823","{chicken;dessert;yogurt;frozen vegetables;domestic eggs;salt;pasta;specialty fat;bottled water;newspapers}"
"1824","{frankfurter;root vegetables;whole milk;butter milk;whipped/sour cream;rolls/buns;pastry;vinegar;coffee;bottled water;dish cleaner;female sanitary products}"
"1825","{tropical fruit;yogurt;processed cheese;rolls/buns;bottled water;soda;misc. beverages;female sanitary products}"
"1826","{root vegetables;whole milk;domestic eggs}"
"1827","{meat;citrus fruit;pip fruit;curd;yogurt;whipped/sour cream;domestic eggs;pastry;flour;fruit/vegetable juice;bottled beer;salty snack;chocolate;cooking chocolate;hygiene articles;napkins;shopping bags}"
"1828","{hamburger meat}"
"1829","{tropical fruit;napkins}"
"1830","{whole milk}"
"1831","{whole milk;dessert;rolls/buns;pastry;newspapers}"
"1832","{hamburger meat;citrus fruit;butter;frozen vegetables;pasta;sweet spreads;coffee}"
"1833","{frankfurter;sausage;curd;whipped/sour cream;frozen vegetables;jam;long life bakery product;candy}"
"1834","{soda;canned beer}"
"1835","{whipped/sour cream;rice;popcorn}"
"1836","{whole milk;butter;yogurt;frozen meals;bottled water;bottled beer;canned beer;chocolate;flower (seeds)}"
"1837","{citrus fruit;root vegetables;other vegetables;salt;bottled water;chewing gum}"
"1838","{pip fruit;coffee}"
"1839","{root vegetables;butter milk;frozen vegetables;pastry;dish cleaner;hygiene articles;napkins}"
"1840","{pip fruit;root vegetables;zwieback;fruit/vegetable juice;pot plants}"
"1841","{onions;other vegetables;whole milk;soups;bottled beer;pot plants}"
"1842","{tropical fruit;grapes;oil;canned vegetables;tea;fruit/vegetable juice;snack products}"
"1843","{other vegetables;brown bread;soda;canned beer;shopping bags}"
"1844","{citrus fruit;rolls/buns;bottled water;red/blush wine;newspapers}"
"1845","{canned beer;shopping bags}"
"1846","{root vegetables;other vegetables;whole milk;curd;cream cheese ;domestic eggs;misc. beverages;napkins}"
"1847","{tropical fruit;pip fruit;whole milk;curd;yogurt;frozen meals}"
"1848","{butter milk}"
"1849","{root vegetables}"
"1850","{pork;whole milk;margarine}"
"1851","{pip fruit;yogurt;ice cream;soda}"
"1852","{canned beer;newspapers}"
"1853","{tropical fruit;whole milk;butter;brown bread}"
"1854","{pork;pip fruit;other vegetables;whole milk;yogurt;frozen fish;flour;sugar;baking powder;long life bakery product;chewing gum}"
"1855","{pip fruit;napkins}"
"1856","{rolls/buns}"
"1857","{meat;organic sausage;whole milk;butter;UHT-milk;frozen vegetables;pickled vegetables;cat food;female sanitary products}"
"1858","{soda}"
"1859","{root vegetables}"
"1860","{root vegetables;red/blush wine}"
"1861","{sausage;butter;pastry;canned beer;shopping bags}"
"1862","{butter;white wine}"
"1863","{sauces;red/blush wine;dish cleaner}"
"1864","{beef;citrus fruit;pip fruit;root vegetables;other vegetables;whipped/sour cream;margarine;canned vegetables;cat food;shopping bags}"
"1865","{ham;pork;butter milk;sweet spreads;shopping bags}"
"1866","{rolls/buns;fruit/vegetable juice}"
"1867","{tropical fruit;rolls/buns}"
"1868","{sausage;tropical fruit;whole milk;curd;butter milk;whipped/sour cream;rolls/buns;softener;house keeping products}"
"1869","{tropical fruit;whole milk;cream cheese ;frozen vegetables;rolls/buns;chocolate;candy;pot plants}"
"1870","{soda}"
"1871","{whole milk;pastry}"
"1872","{pip fruit}"
"1873","{whole milk}"
"1874","{chicken;beef;whole milk;bottled water;newspapers}"
"1875","{root vegetables;other vegetables;whipped/sour cream;canned beer;liquor;shopping bags}"
"1876","{rolls/buns;meat spreads}"
"1877","{butter;whipped/sour cream;domestic eggs;rolls/buns}"
"1878","{tropical fruit;sliced cheese;rolls/buns;napkins;pot plants}"
"1879","{sausage;chicken;beef;root vegetables;other vegetables;curd;yogurt;cream cheese ;ice cream;newspapers}"
"1880","{soda}"
"1881","{rolls/buns;bottled water;soda}"
"1882","{tropical fruit;pip fruit;root vegetables;other vegetables;dessert;whipped/sour cream;sliced cheese;pastry;shopping bags}"
"1883","{tropical fruit;root vegetables;other vegetables;packaged fruit/vegetables;flower (seeds)}"
"1884","{UHT-milk;pastry;coffee;red/blush wine;pot plants}"
"1885","{root vegetables;other vegetables;domestic eggs;sugar;instant coffee;bottled water;soda;bottled beer;red/blush wine;waffles;specialty chocolate}"
"1886","{pip fruit;dessert;rolls/buns;pastry;specialty bar}"
"1887","{whole milk;brown bread;newspapers}"
"1888","{dessert;zwieback}"
"1889","{other vegetables;frozen meals;pasta;canned fish;coffee}"
"1890","{pork;hamburger meat;yogurt;cream cheese ;spread cheese;frozen vegetables;pasta;instant coffee;soda;waffles;specialty bar;seasonal products}"
"1891","{frankfurter;domestic eggs}"
"1892","{whole milk;yogurt;sliced cheese;mayonnaise;rolls/buns;pasta;specialty chocolate}"
"1893","{frankfurter;pork;citrus fruit;pip fruit;other vegetables;whipped/sour cream;UHT-milk;salad dressing;frozen potato products;salty snack;newspapers}"
"1894","{whipped/sour cream;soda}"
"1895","{curd}"
"1896","{other vegetables;whole milk;frozen potato products;rolls/buns;pasta;instant coffee;soda;fruit/vegetable juice;bottled beer;cake bar;seasonal products}"
"1897","{ham;bottled water;soda}"
"1898","{whole milk;curd;rolls/buns;pastry;pasta;margarine}"
"1899","{whole milk;butter;whipped/sour cream;condensed milk;soft cheese;hard cheese;processed cheese;frozen vegetables;detergent}"
"1900","{soda}"
"1901","{margarine}"
"1902","{pip fruit}"
"1903","{other vegetables;packaged fruit/vegetables;frozen dessert;rolls/buns;soda}"
"1904","{whole milk;margarine;pot plants}"
"1905","{pork;tropical fruit;whole milk;rolls/buns;margarine}"
"1906","{sausage;meat;turkey;citrus fruit;tropical fruit;pip fruit;root vegetables;onions;herbs;other vegetables;whole milk;curd;yogurt;whipped/sour cream;soft cheese;cream cheese ;frozen vegetables;brown bread;pastry;semi-finished bread;margarine}"
"1907","{curd;yogurt;frozen vegetables}"
"1908","{canned beer}"
"1909","{napkins}"
"1910","{chewing gum}"
"1911","{ice cream}"
"1912","{bottled water}"
"1913","{liver loaf;pork;citrus fruit;tropical fruit;root vegetables;other vegetables;whole milk;curd;dessert;yogurt;frozen vegetables;brown bread;semi-finished bread;oil;dog food;fruit/vegetable juice}"
"1914","{citrus fruit;tropical fruit;root vegetables;herbs;other vegetables;whole milk;yogurt;bottled water;bottled beer}"
"1915","{chicken;citrus fruit;yogurt;whipped/sour cream;spread cheese;margarine;softener}"
"1916","{citrus fruit;whole milk;sliced cheese;rolls/buns;pastry;roll products ;coffee;bottled water;soda;bottled beer;canned beer;rum;waffles;chocolate}"
"1917","{bottled water;liquor (appetizer);specialty bar}"
"1918","{pip fruit;berries;root vegetables;other vegetables;whole milk;whipped/sour cream}"
"1919","{whole milk;curd;yogurt;frozen vegetables;margarine;ketchup;cereals;canned fish;soda;cling film/bags}"
"1920","{hamburger meat;whole milk;curd;dessert}"
"1921","{turkey;hamburger meat;root vegetables;other vegetables;whole milk;yogurt;hard cheese;cereals;long life bakery product;specialty chocolate;candy;hygiene articles}"
"1922","{ham;beef;tropical fruit;pip fruit;other vegetables;whole milk;dessert;yogurt;whipped/sour cream;soft cheese;frozen potato products;rolls/buns;soda;long life bakery product;chocolate}"
"1923","{citrus fruit;pip fruit;other vegetables;canned vegetables}"
"1924","{sausage;other vegetables;dessert;domestic eggs;pastry;napkins}"
"1925","{yogurt}"
"1926","{butter}"
"1927","{chicken;hamburger meat;whole milk;rolls/buns;flour;margarine;coffee;canned beer;hygiene articles;shopping bags}"
"1928","{beverages;rolls/buns;long life bakery product;shopping bags}"
"1929","{onions;bottled water;soda;canned beer;chewing gum;male cosmetics;napkins;cling film/bags}"
"1930","{bottled beer}"
"1931","{butter;pastry;semi-finished bread;white wine;detergent}"
"1932","{root vegetables;butter;pot plants}"
"1933","{sausage;ham;meat;pork;tropical fruit;pip fruit;grapes;other vegetables;whole milk;butter;whipped/sour cream;frozen meals;frozen fish;ice cream;domestic eggs;pastry;soda;syrup;detergent}"
"1934","{ham;whole milk;spread cheese;rolls/buns;waffles;newspapers}"
"1935","{soda;canned beer}"
"1936","{chicken;tropical fruit;whole milk;pastry;soda;long life bakery product;waffles;chocolate}"
"1937","{sausage;pip fruit;whole milk;rolls/buns;flour;oil;soda}"
"1938","{other vegetables;soda}"
"1939","{whole milk;bottled beer}"
"1940","{root vegetables}"
"1941","{chicken;other vegetables;whole milk}"
"1942","{tropical fruit;pip fruit;whole milk;curd;yogurt;frozen vegetables;frozen meals;white bread;instant coffee;misc. beverages;bottled beer;hygiene articles}"
"1943","{pork;root vegetables;brown bread;soda;bottled beer}"
"1944","{tropical fruit;pip fruit;root vegetables;whole milk;yogurt;beverages;domestic eggs;white bread;sweet spreads;soda}"
"1945","{chicken;napkins}"
"1946","{other vegetables;curd;pastry;Instant food products;salty snack;cake bar;chewing gum;napkins}"
"1947","{whipped/sour cream;female sanitary products}"
"1948","{whole milk;whipped/sour cream}"
"1949","{root vegetables;other vegetables;whole milk;bottled water;bottled beer}"
"1950","{sausage;berries;whole milk;yogurt;domestic eggs}"
"1951","{frozen vegetables}"
"1952","{beef;whole milk;butter;rolls/buns;cat food;bottled beer}"
"1953","{root vegetables;whole milk;yogurt}"
"1954","{rolls/buns;brown bread;bottled water}"
"1955","{canned beer;specialty chocolate}"
"1956","{sweet spreads;coffee;chocolate;seasonal products}"
"1957","{beef;pot plants}"
"1958","{frozen vegetables;frozen meals}"
"1959","{bottled water;specialty chocolate}"
"1960","{domestic eggs}"
"1961","{ice cream;sugar;napkins;dishes}"
"1962","{ice cream;roll products ;Instant food products;coffee;candles}"
"1963","{butter;whipped/sour cream;brown bread;pastry;canned vegetables;fruit/vegetable juice;long life bakery product}"
"1964","{sausage}"
"1965","{ham;tropical fruit;specialty cheese;long life bakery product;hygiene articles;newspapers}"
"1966","{citrus fruit;pip fruit;other vegetables;whole milk;butter;cream cheese ;domestic eggs;vinegar;fruit/vegetable juice;softener;napkins}"
"1967","{red/blush wine}"
"1968","{butter;margarine}"
"1969","{whole milk;bottled water;fruit/vegetable juice}"
"1970","{hard cheese;newspapers}"
"1971","{hygiene articles}"
"1972","{soups;soda;shopping bags}"
"1973","{pastry;soda}"
"1974","{onions;rolls/buns}"
"1975","{ice cream;soda;fruit/vegetable juice}"
"1976","{herbs}"
"1977","{citrus fruit;pip fruit;curd;artif. sweetener;dog food;coffee}"
"1978","{white bread;soda;bottled beer}"
"1979","{pip fruit;root vegetables;sugar;coffee;bottled beer}"
"1980","{misc. beverages;cake bar}"
"1981","{ice cream;soda;bottled beer;salty snack}"
"1982","{pot plants}"
"1983","{beef;tropical fruit;frozen vegetables;pickled vegetables;bottled water;soda}"
"1984","{canned beer}"
"1985","{cat food;chocolate;specialty chocolate}"
"1986","{whipped/sour cream}"
"1987","{shopping bags}"
"1988","{berries;other vegetables;yogurt}"
"1989","{whole milk;pot plants}"
"1990","{root vegetables;domestic eggs}"
"1991","{pork;pip fruit;other vegetables;whole milk;yogurt;ketchup;pickled vegetables;soda;detergent}"
"1992","{sausage;pork;fish;citrus fruit;berries;whipped/sour cream;soda;fruit/vegetable juice;bathroom cleaner;soap}"
"1993","{bottled water}"
"1994","{ice cream;bottled water}"
"1995","{berries;root vegetables;whole milk;dessert;yogurt;whipped/sour cream;cream cheese ;semi-finished bread;canned fruit;fruit/vegetable juice}"
"1996","{bottled beer;shopping bags}"
"1997","{pork;berries;whole milk;dessert;whipped/sour cream;fruit/vegetable juice;candy}"
"1998","{ice cream;soda;specialty chocolate}"
"1999","{curd;yogurt;waffles}"
"2000","{sausage;dessert;soda}"
"2001","{rolls/buns;vinegar;bottled beer}"
"2002","{other vegetables;domestic eggs;soda}"
"2003","{other vegetables;pastry}"
"2004","{root vegetables;canned vegetables;soda;shopping bags}"
"2005","{other vegetables;whole milk;butter;yogurt;cream cheese ;vinegar;pet care;fruit/vegetable juice;cling film/bags}"
"2006","{pastry;salty snack}"
"2007","{other vegetables;brown bread;soda}"
"2008","{other vegetables;frozen vegetables;pastry;specialty bar}"
"2009","{citrus fruit;tropical fruit;whole milk;domestic eggs;pastry;bottled water;salty snack}"
"2010","{white bread}"
"2011","{citrus fruit;berries;onions;other vegetables;condensed milk;soft cheese;oil;pickled vegetables;specialty vegetables;coffee;bottled water;soda;bottled beer;dish cleaner;male cosmetics;cling film/bags}"
"2012","{whole milk}"
"2013","{chocolate;pot plants}"
"2014","{citrus fruit;other vegetables;frozen meals;rice;canned beer;salty snack}"
"2015","{other vegetables;yogurt;fruit/vegetable juice;shopping bags}"
"2016","{sausage;chicken;beef;pip fruit;root vegetables;onions;yogurt;soft cheese;mayonnaise;margarine;jam;sweet spreads;coffee;bottled water;soda;dish cleaner}"
"2017","{root vegetables;frozen meals;white bread;snack products;hygiene articles}"
"2018","{sausage;chicken;pip fruit;berries;other vegetables;dessert;yogurt;frozen vegetables;frozen meals;brown bread;semi-finished bread;ketchup;spices;ready soups;soda;canned beer;popcorn}"
"2019","{pip fruit;vinegar;bottled water;shopping bags}"
"2020","{tropical fruit;berries;yogurt;domestic eggs;brown bread;soda;candy}"
"2021","{pork;other vegetables;whipped/sour cream}"
"2022","{whole milk;yogurt;cream cheese ;oil;pickled vegetables;cat food;misc. beverages;long life bakery product;chocolate;specialty bar;dishes}"
"2023","{mustard;soda;fruit/vegetable juice}"
"2024","{citrus fruit;white bread;ketchup;fruit/vegetable juice;bottled beer;salty snack;popcorn;shopping bags}"
"2025","{whole milk;margarine;bottled water}"
"2026","{root vegetables;curd;dessert;whipped/sour cream;pastry;sauces;coffee;soda;fruit/vegetable juice;newspapers}"
"2027","{citrus fruit;tropical fruit;other vegetables}"
"2028","{UHT-milk}"
"2029","{soda}"
"2030","{tropical fruit;bottled beer}"
"2031","{shopping bags}"
"2032","{bottled beer}"
"2033","{beef;grapes;fruit/vegetable juice}"
"2034","{pip fruit;sugar}"
"2035","{root vegetables;onions;other vegetables;yogurt;frozen meals;vinegar;canned vegetables;soda;salty snack;napkins}"
"2036","{chicken;beef;citrus fruit;whole milk;cream cheese ;domestic eggs;rolls/buns;canned beer;napkins;shopping bags}"
"2037","{bottled water}"
"2038","{flour}"
"2039","{pip fruit;domestic eggs}"
"2040","{whole milk;pastry;fruit/vegetable juice;canned beer;specialty chocolate}"
"2041","{frankfurter;whole milk;bottled water;specialty chocolate;candy}"
"2042","{canned beer}"
"2043","{whole milk;cream cheese ;oil;bottled water;fruit/vegetable juice;pot plants}"
"2044","{canned beer}"
"2045","{butter milk;specialty chocolate}"
"2046","{margarine}"
"2047","{whole milk}"
"2048","{whole milk;ice cream;pastry;coffee;shopping bags}"
"2049","{canned beer;liquor}"
"2050","{salty snack}"
"2051","{root vegetables;onions;whipped/sour cream;UHT-milk;frozen dessert;margarine;syrup}"
"2052","{sausage;citrus fruit;other vegetables;dessert;yogurt;whipped/sour cream;hard cheese;curd cheese;white bread;semi-finished bread;cat food;bottled water;seasonal products;softener;flower soil/fertilizer;flower (seeds)}"
"2053","{brown bread}"
"2054","{other vegetables;dessert;waffles;light bulbs}"
"2055","{sausage;ham;chicken;other vegetables;whole milk;butter;whipped/sour cream;cream cheese }"
"2056","{ham;other vegetables;whole milk;frozen vegetables}"
"2057","{domestic eggs;cat food;bottled water}"
"2058","{sausage;pip fruit;onions;spices;cat food;bottled beer;newspapers}"
"2059","{root vegetables;yogurt;fruit/vegetable juice}"
"2060","{other vegetables;yogurt}"
"2061","{citrus fruit;whole milk;specialty bar;dish cleaner;cling film/bags}"
"2062","{pork;frozen potato products;soda}"
"2063","{onions;dessert;yogurt;domestic eggs;rolls/buns;brown bread;pastry;cat food;bottled water;soda;fruit/vegetable juice;long life bakery product;chocolate;female sanitary products;napkins}"
"2064","{other vegetables;whole milk;yogurt;spices}"
"2065","{chicken;pork;beef;berries;sliced cheese;jam;shopping bags}"
"2066","{pip fruit;margarine}"
"2067","{berries;chewing gum;seasonal products;newspapers}"
"2068","{whole milk;specialty bar}"
"2069","{chicken;canned beer;shopping bags}"
"2070","{pork;onions;pastry;potato products;bottled water}"
"2071","{whole milk;specialty fat;soda}"
"2072","{pork;tropical fruit;berries;whole milk;yogurt;white bread;oil}"
"2073","{cat food;chocolate}"
"2074","{finished products;citrus fruit;yogurt;pastry;soda;waffles;shopping bags}"
"2075","{brown bread;margarine;long life bakery product;flower (seeds)}"
"2076","{berries;dessert;whipped/sour cream;bottled water;soda;fruit/vegetable juice;white wine}"
"2077","{ham;whole milk;domestic eggs;pastry;oil;baking powder;chewing gum;chocolate marshmallow}"
"2078","{fish;brown bread;pet care;napkins}"
"2079","{pastry;canned beer;shopping bags}"
"2080","{sausage;pastry}"
"2081","{whole milk;yogurt;spread cheese;semi-finished bread;baking powder;soda;cake bar;chocolate;specialty bar}"
"2082","{bottled beer}"
"2083","{whole milk;brown bread}"
"2084","{sausage;root vegetables;white bread;roll products ;semi-finished bread;soda;napkins}"
"2085","{soda;chocolate;chocolate marshmallow}"
"2086","{ham;whole milk;dessert;processed cheese;bottled water;soda;fruit/vegetable juice;chocolate}"
"2087","{bottled beer;canned beer}"
"2088","{sausage;ham;whole milk;dessert;margarine;baking powder;bottled water}"
"2089","{sausage;chicken;other vegetables;whole milk;yogurt;cream cheese ;brown bread;soda}"
"2090","{sausage;root vegetables;other vegetables;dessert;yogurt;whipped/sour cream;sliced cheese;domestic eggs;white bread;pastry;bottled water;fruit/vegetable juice;popcorn}"
"2091","{sausage;rolls/buns;white wine}"
"2092","{pork}"
"2093","{root vegetables;yogurt;beverages;domestic eggs;white bread;cat food}"
"2094","{citrus fruit;whole milk;baking powder;cocoa drinks;skin care;shopping bags}"
"2095","{other vegetables}"
"2096","{whole milk;soda}"
"2097","{yogurt;ice cream;white bread;sweet spreads;shopping bags}"
"2098","{UHT-milk;mayonnaise;rolls/buns;pickled vegetables;soda;hygiene articles;shopping bags}"
"2099","{citrus fruit;tropical fruit;pip fruit;other vegetables;rolls/buns;misc. beverages;fruit/vegetable juice}"
"2100","{citrus fruit;pip fruit;whole milk;bottled water}"
"2101","{whole milk;butter milk;whipped/sour cream;ice cream;brown bread;specialty chocolate;candy;dish cleaner}"
"2102","{canned beer}"
"2103","{rolls/buns;sugar;sweet spreads;chewing gum;newspapers}"
"2104","{sausage;rolls/buns;soda}"
"2105","{frozen fish;bottled beer}"
"2106","{other vegetables;whole milk;baking powder;coffee;flower (seeds)}"
"2107","{rolls/buns;soda}"
"2108","{tropical fruit;other vegetables;whole milk;frozen vegetables;pastry;cake bar}"
"2109","{butter milk;hard cheese}"
"2110","{sausage;butter milk;soft cheese;rolls/buns;instant coffee;shopping bags}"
"2111","{pastry;soda}"
"2112","{spread cheese;fruit/vegetable juice}"
"2113","{rolls/buns;sweet spreads;canned fish;chewing gum;newspapers}"
"2114","{frankfurter;onions;candy;detergent}"
"2115","{frankfurter;pip fruit;newspapers}"
"2116","{condensed milk;pastry;coffee;soda;red/blush wine;salty snack;nut snack;long life bakery product;waffles;cookware}"
"2117","{rolls/buns;canned beer}"
"2118","{frankfurter;whole milk;brown bread;cake bar;specialty bar;shopping bags}"
"2119","{rolls/buns;bottled beer}"
"2120","{rolls/buns;white bread;dish cleaner;shopping bags}"
"2121","{other vegetables;whole milk;soda;chocolate}"
"2122","{sausage;tropical fruit;other vegetables;whole milk;yogurt;coffee;shopping bags}"
"2123","{coffee}"
"2124","{pip fruit;other vegetables;whole milk;yogurt;beverages;frozen potato products;rolls/buns;fruit/vegetable juice}"
"2125","{citrus fruit;pip fruit}"
"2126","{flour;bottled water;chocolate;specialty chocolate}"
"2127","{frankfurter;rolls/buns}"
"2128","{soda}"
"2129","{soda}"
"2130","{root vegetables}"
"2131","{pork;whole milk;rolls/buns;artif. sweetener;baking powder;specialty chocolate;house keeping products;newspapers}"
"2132","{frozen vegetables;rolls/buns;pastry}"
"2133","{tropical fruit;other vegetables;whole milk;frozen meals}"
"2134","{citrus fruit;whole milk;whipped/sour cream;rolls/buns;pastry}"
"2135","{frankfurter;beef;other vegetables;rolls/buns}"
"2136","{other vegetables;whole milk;rolls/buns;vinegar;margarine;soda;waffles}"
"2137","{sweet spreads;cat food}"
