"transaction","items"
"4243","{tropical fruit;chewing gum;specialty chocolate;chocolate marshmallow}"
"4244","{sausage}"
"4245","{whole milk;white bread;fruit/vegetable juice;long life bakery product;cake bar}"
"4246","{beverages;frozen meals;specialty bar;candy}"
"4247","{liver loaf;chicken;turkey;berries;packaged fruit/vegetables;whole milk;yogurt;cream cheese ;rolls/buns;pastry;bottled water;soda;bathroom cleaner}"
"4248","{frankfurter;sausage;pork;root vegetables;whole milk;yogurt;frozen meals;bottled beer}"
"4249","{yogurt;bottled water;soda;bottled beer;chocolate;female sanitary products}"
"4250","{other vegetables;canned fish;soda;shopping bags}"
"4251","{yogurt;bottled water}"
"4252","{whole milk;dessert;pastry;bottled water;soda;long life bakery product;chocolate;napkins;cling film/bags}"
"4253","{pork;rolls/buns;liquor;salty snack;popcorn}"
"4254","{berries}"
"4255","{berries}"
"4256","{other vegetables;whole milk;fruit/vegetable juice;chocolate}"
"4257","{chicken;beef;root vegetables;whole milk;curd;whipped/sour cream;flour;oil;sugar;salty snack}"
"4258","{root vegetables;other vegetables;mayonnaise;soda;chocolate;specialty chocolate}"
"4259","{tropical fruit}"
"4260","{citrus fruit;tropical fruit;coffee;soda;fruit/vegetable juice;canned beer;candy}"
"4261","{frankfurter;citrus fruit;berries;whole milk;yogurt;domestic eggs;salt;waffles;cake bar}"
"4262","{misc. beverages}"
"4263","{pip fruit;bottled water;soda;fruit/vegetable juice;canned beer;newspapers}"
"4264","{sausage;pastry;waffles}"
"4265","{rolls/buns;candy}"
"4266","{citrus fruit}"
"4267","{sausage;root vegetables;yogurt;brown bread}"
"4268","{syrup}"
"4269","{pip fruit;UHT-milk;semi-finished bread;cat food;bottled water;chocolate;candy;shopping bags}"
"4270","{whole milk;pastry;newspapers}"
"4271","{frankfurter;root vegetables;onions;canned beer}"
"4272","{other vegetables;yogurt;whipped/sour cream;jam;fruit/vegetable juice;chocolate;dishes;newspapers}"
"4273","{bottled water;canned beer;white wine}"
"4274","{whole milk;whipped/sour cream;rolls/buns;shopping bags}"
"4275","{whole milk;dessert;brown bread;specialty bar}"
"4276","{finished products;frozen meals;chocolate;shopping bags}"
"4277","{whole milk;rolls/buns}"
"4278","{pork;beef}"
"4279","{chocolate marshmallow}"
"4280","{root vegetables;other vegetables;whole milk;butter milk;processed cheese;margarine}"
"4281","{sausage;root vegetables;bottled beer;skin care}"
"4282","{sausage;organic sausage;pip fruit;butter;brown bread;soda}"
"4283","{bottled water;soda}"
"4284","{frankfurter}"
"4285","{pork;candy}"
"4286","{frozen meals;specialty bar}"
"4287","{tropical fruit;berries;whole milk;white bread;margarine;fruit/vegetable juice;hygiene articles;napkins;shopping bags}"
"4288","{ham;tropical fruit;whole milk;dessert;butter milk;yogurt;hard cheese;processed cheese;white bread;cat food;fruit/vegetable juice;napkins}"
"4289","{tropical fruit;other vegetables;butter;whipped/sour cream;semi-finished bread;vinegar;fruit/vegetable juice;chocolate;shopping bags}"
"4290","{whole milk;whipped/sour cream}"
"4291","{whole milk;curd;pastry;fruit/vegetable juice;newspapers}"
"4292","{misc. beverages}"
"4293","{finished products;fruit/vegetable juice;white wine;chocolate;pot plants}"
"4294","{berries;whole milk;butter;domestic eggs;cake bar}"
"4295","{other vegetables;bottled beer;canned beer;white wine;detergent;softener;newspapers}"
"4296","{berries;whipped/sour cream;cake bar}"
"4297","{onions;whole milk;butter;yogurt;frozen fish;fruit/vegetable juice}"
"4298","{yogurt}"
"4299","{berries;fruit/vegetable juice;waffles;specialty bar}"
"4300","{shopping bags}"
"4301","{whole milk;yogurt;bottled water}"
"4302","{turkey;pip fruit;other vegetables;dessert;brown bread;soda}"
"4303","{pip fruit;root vegetables;whole milk;yogurt;white bread;soda;chocolate;hygiene articles}"
"4304","{pip fruit;rolls/buns;bottled water;soda;newspapers}"
"4305","{other vegetables;whole milk;brown bread}"
"4306","{hamburger meat}"
"4307","{pork;root vegetables;other vegetables;whole milk;whipped/sour cream;domestic eggs;pastry;baking powder}"
"4308","{pastry;bottled water;newspapers}"
"4309","{newspapers}"
"4310","{canned beer}"
"4311","{ham;pork;whole milk;pastry;roll products ;flour;sweet spreads;soda;bottled beer}"
"4312","{whole milk;baking powder;waffles;cleaner;newspapers}"
"4313","{beef;whole milk;butter;yogurt;frozen vegetables;domestic eggs;rolls/buns;coffee;bottled beer;skin care}"
"4314","{pip fruit;other vegetables;curd;yogurt;whipped/sour cream;sugar;canned vegetables;fruit/vegetable juice}"
"4315","{beef;onions;whole milk;napkins}"
"4316","{seasonal products}"
"4317","{other vegetables;butter milk}"
"4318","{whole milk;cocoa drinks}"
"4319","{root vegetables;other vegetables;rolls/buns;light bulbs}"
"4320","{pork;frozen vegetables;oil}"
"4321","{pork;whole milk;UHT-milk;newspapers}"
"4322","{newspapers;flower soil/fertilizer}"
"4323","{rolls/buns}"
"4324","{beef;other vegetables;UHT-milk;margarine;fruit/vegetable juice;newspapers}"
"4325","{sausage;ham;whole milk;rolls/buns;fruit/vegetable juice;red/blush wine;chocolate;specialty chocolate;candy;house keeping products;shopping bags}"
"4326","{brown bread;soda;fruit/vegetable juice;bottled beer}"
"4327","{pork;whole milk;butter;curd cheese;frozen vegetables;rolls/buns;brown bread;pastry}"
"4328","{root vegetables;other vegetables}"
"4329","{hamburger meat;other vegetables;whole milk;pot plants}"
"4330","{root vegetables;herbs;other vegetables;whole milk;yogurt;rolls/buns;flour;margarine;cereals;fruit/vegetable juice;pot plants}"
"4331","{chewing gum}"
"4332","{other vegetables;whole milk;brown bread;canned beer}"
"4333","{tropical fruit;whole milk;curd;yogurt;whipped/sour cream;soft cheese;domestic eggs;napkins}"
"4334","{frankfurter;soda;newspapers}"
"4335","{canned beer}"
"4336","{chicken;beef;hamburger meat;pip fruit;grapes;root vegetables;whole milk;butter;dessert;yogurt;whipped/sour cream;cream cheese ;pastry;bottled water;fruit/vegetable juice}"
"4337","{whole milk}"
"4338","{citrus fruit;whole milk}"
"4339","{pork;tropical fruit;pip fruit;other vegetables;whipped/sour cream;beverages;white bread;bottled beer;kitchen towels}"
"4340","{whole milk;curd;baking powder}"
"4341","{hamburger meat;soft cheese;white bread;pastry}"
"4342","{soft cheese}"
"4343","{sausage;chicken;pork;beef;root vegetables;other vegetables;yogurt;mayonnaise;spices;chocolate;candles}"
"4344","{pork;root vegetables;yogurt;UHT-milk;vinegar;oil;soda;newspapers}"
"4345","{pork;beef;hamburger meat;other vegetables;whole milk;rolls/buns}"
"4346","{tropical fruit;pip fruit;root vegetables;other vegetables;whole milk;bottled water}"
"4347","{frankfurter;sausage;pork;onions;herbs;whole milk;sliced cheese;curd cheese;domestic eggs;rolls/buns;bottled beer;candy}"
"4348","{canned beer}"
"4349","{sausage;chicken;whole milk;butter;beverages;white wine}"
"4350","{root vegetables;soda;liquor}"
"4351","{soda}"
"4352","{canned beer}"
"4353","{bottled beer}"
"4354","{pork;root vegetables;other vegetables;whole milk;domestic eggs;pastry}"
"4355","{pip fruit;root vegetables;other vegetables;whole milk;rolls/buns;brown bread;canned beer;newspapers;pot plants}"
"4356","{brown bread}"
"4357","{other vegetables;curd}"
"4358","{beef;other vegetables;soft cheese;pastry;long life bakery product;specialty chocolate}"
"4359","{long life bakery product}"
"4360","{sausage;citrus fruit;other vegetables;specialty cheese;baking powder;bottled water;detergent;newspapers}"
"4361","{onions;whole milk;domestic eggs;rolls/buns;margarine;bottled water;newspapers}"
"4362","{pork;domestic eggs;roll products ;misc. beverages}"
"4363","{frankfurter;beef;grapes;other vegetables;bottled beer;red/blush wine;napkins;newspapers}"
"4364","{ham;UHT-milk;cream cheese ;coffee;bottled water;napkins}"
"4365","{tropical fruit;grapes}"
"4366","{rolls/buns;white bread;coffee}"
"4367","{frankfurter;hamburger meat;berries;onions;other vegetables;whole milk;curd;dessert;rolls/buns;cake bar;newspapers}"
"4368","{whole milk;butter;soft cheese}"
"4369","{other vegetables;whole milk;curd;cream cheese ;frozen vegetables;roll products ;sugar;soda;bottled beer;salty snack;popcorn}"
"4370","{root vegetables;onions;other vegetables}"
"4371","{rolls/buns;brown bread;soda}"
"4372","{pip fruit;root vegetables;onions;other vegetables;frozen vegetables;pastry}"
"4373","{rolls/buns}"
"4374","{frankfurter;chicken;root vegetables;whole milk;domestic eggs;canned fruit;flower (seeds)}"
"4375","{frankfurter;sausage;beef;tropical fruit;berries;root vegetables;other vegetables;whole milk;yogurt;beverages;soft cheese;specialty cheese;frozen fish;rolls/buns}"
"4376","{citrus fruit;tropical fruit;pip fruit;root vegetables;other vegetables}"
"4377","{pastry}"
"4378","{other vegetables;whole milk;frozen vegetables;semi-finished bread;vinegar;dog food;salty snack;long life bakery product;pot plants}"
"4379","{ham;whole milk;white bread;newspapers}"
"4380","{cat food;newspapers;shopping bags}"
"4381","{pork;citrus fruit;other vegetables;whole milk;butter;whipped/sour cream;ice cream;margarine;sugar;baking powder;coffee;newspapers}"
"4382","{citrus fruit;whole milk;yogurt;whipped/sour cream;rolls/buns}"
"4383","{sausage;whole milk;sliced cheese;rolls/buns;brown bread;bottled beer}"
"4384","{soda;cling film/bags;house keeping products}"
"4385","{citrus fruit;butter;condensed milk;frozen meals;margarine;male cosmetics;newspapers}"
"4386","{other vegetables;salt;sweet spreads}"
"4387","{ham;tropical fruit;white bread;pastry;waffles;specialty bar}"
"4388","{sausage;rolls/buns;shopping bags}"
"4389","{sausage;chicken;root vegetables;other vegetables;yogurt;whipped/sour cream;rolls/buns;pastry}"
"4390","{sausage;citrus fruit;yogurt;tidbits;domestic eggs;rolls/buns;meat spreads;soda}"
"4391","{sausage;ham;tropical fruit;whole milk;yogurt;spread cheese;rolls/buns;zwieback;long life bakery product;napkins;newspapers}"
"4392","{hygiene articles;house keeping products}"
"4393","{beef;citrus fruit;tropical fruit;whole milk;butter milk;frozen vegetables;rolls/buns;brown bread;pickled vegetables}"
"4394","{canned beer}"
"4395","{onions;other vegetables;whole milk;butter;butter milk;whipped/sour cream;ice cream;rolls/buns;bottled beer;long life bakery product;dental care;napkins;newspapers}"
"4396","{sausage;citrus fruit;root vegetables;other vegetables;rolls/buns;soda;fruit/vegetable juice;bottled beer;dental care}"
"4397","{sausage;other vegetables;rolls/buns;canned vegetables;coffee;soda;dish cleaner}"
"4398","{yogurt;rolls/buns;brown bread;salty snack;pot plants}"
"4399","{chicken;herbs;other vegetables;butter;brown bread;pastry;margarine;candy}"
"4400","{beef;hamburger meat;pip fruit;root vegetables;whole milk;butter milk;yogurt;whipped/sour cream;pasta;sugar;cereals}"
"4401","{UHT-milk;rolls/buns}"
"4402","{pork;margarine;dishes}"
"4403","{tropical fruit;berries;herbs;rice;shopping bags}"
"4404","{canned vegetables;white wine;newspapers;flower soil/fertilizer}"
"4405","{tropical fruit;root vegetables;other vegetables;yogurt;whipped/sour cream;rolls/buns;margarine;instant coffee;soda;newspapers}"
"4406","{sausage;chicken;whole milk;processed cheese;frozen vegetables;rolls/buns;rice;margarine;sugar;canned fruit;pickled vegetables;hygiene articles}"
"4407","{frankfurter;rolls/buns;dishes;shopping bags}"
"4408","{rolls/buns}"
"4409","{pickled vegetables;bottled water;fruit/vegetable juice;newspapers}"
"4410","{citrus fruit;root vegetables;other vegetables;whole milk;butter;curd;oil;canned vegetables;hygiene articles;newspapers}"
"4411","{potato products;bottled water;soda;bottled beer}"
"4412","{turkey;root vegetables;other vegetables;whole milk;rolls/buns;bottled water;detergent;dishes}"
"4413","{sausage;UHT-milk;pastry;margarine;canned fish;cat food;waffles}"
"4414","{white wine;red/blush wine}"
"4415","{hamburger meat;citrus fruit;herbs;other vegetables;whole milk;butter;domestic eggs;pasta;Instant food products;canned fruit;pickled vegetables;bottled water;misc. beverages;bottled beer;hygiene articles}"
"4416","{chicken;root vegetables;onions;other vegetables;whole milk;butter;yogurt;hard cheese;specialty cheese;rice;sugar}"
"4417","{turkey;tropical fruit;pip fruit;root vegetables;herbs;other vegetables;packaged fruit/vegetables;whole milk;butter milk;yogurt;specialty cheese;rolls/buns;oil;cat food;coffee;bottled water;fruit/vegetable juice;candy;dish cleaner}"
"4418","{dessert;cat food;newspapers}"
"4419","{tropical fruit;whole milk;butter;domestic eggs;bottled water;misc. beverages;canned beer;liqueur}"
"4420","{beef;citrus fruit;tropical fruit;pip fruit;berries;root vegetables;other vegetables;whole milk;dessert;sliced cheese;rolls/buns;flour;sugar;pickled vegetables;tea;soda;bottled beer;chocolate;napkins;newspapers}"
"4421","{pork;beef;root vegetables;other vegetables;frozen vegetables;margarine;white wine}"
"4422","{white bread}"
"4423","{root vegetables;whole milk;honey;pudding powder;newspapers}"
"4424","{frankfurter;bottled beer}"
"4425","{citrus fruit;baking powder;sweet spreads;nut snack}"
"4426","{rolls/buns;pastry}"
"4427","{tropical fruit;whole milk;curd;yogurt;rolls/buns;specialty bar}"
"4428","{cream cheese ;fruit/vegetable juice}"
"4429","{sausage;ham;pork;other vegetables;whole milk;dessert;whipped/sour cream;semi-finished bread;pudding powder;fruit/vegetable juice;salty snack;long life bakery product}"
"4430","{turkey;pork;citrus fruit;pip fruit;frozen meals;waffles;chocolate;hygiene articles;shopping bags}"
"4431","{frankfurter;sausage;liver loaf;beef;tropical fruit;pip fruit;root vegetables;onions;whole milk;butter;yogurt;whipped/sour cream;sliced cheese;cream cheese ;frozen meals;frozen potato products;domestic eggs;rolls/buns;roll products ;salt;rice;margarine;jam;coffee;long life bakery product;waffles;hygiene articles}"
"4432","{chicken;pork;whole milk;coffee;soda;canned beer;napkins;newspapers}"
"4433","{tropical fruit;root vegetables;whole milk;whipped/sour cream;frozen vegetables;domestic eggs;red/blush wine}"
"4434","{chicken;pork;citrus fruit;berries;yogurt}"
"4435","{root vegetables;yogurt;brown bread;pastry;flour;bottled water;pot plants}"
"4436","{chicken;tropical fruit;rolls/buns;pastry;bottled water;red/blush wine;chocolate;newspapers}"
"4437","{bottled beer;shopping bags}"
"4438","{ketchup}"
"4439","{canned beer}"
"4440","{tropical fruit;whole milk;domestic eggs;pastry;margarine;coffee;dental care;hygiene articles;cling film/bags}"
"4441","{beef;citrus fruit;root vegetables;specialty chocolate}"
"4442","{whole milk;rolls/buns}"
"4443","{bottled water;soda}"
"4444","{pork;pip fruit;root vegetables;other vegetables;curd;butter milk;margarine;newspapers}"
"4445","{pork;tropical fruit;root vegetables;whipped/sour cream;frozen vegetables;roll products }"
"4446","{pip fruit;other vegetables;yogurt;whipped/sour cream;domestic eggs;brown bread;specialty vegetables;coffee;specialty chocolate;pot plants}"
"4447","{specialty chocolate}"
"4448","{citrus fruit;tropical fruit;pip fruit;other vegetables;yogurt;UHT-milk;cream cheese ;fruit/vegetable juice;hygiene articles;pot plants}"
"4449","{frankfurter;turkey;citrus fruit;whole milk;curd;frozen potato products;rolls/buns;white bread;pastry;semi-finished bread;pickled vegetables;sweet spreads;bottled water;soda;fruit/vegetable juice;bottled beer;white wine;prosecco;chocolate;candy}"
"4450","{sausage;beef;tropical fruit;other vegetables;butter;yogurt;UHT-milk;condensed milk;sliced cheese;salt;soups;sweet spreads;newspapers}"
"4451","{root vegetables;other vegetables;whole milk;sliced cheese;rolls/buns;cat food;shopping bags}"
"4452","{root vegetables}"
"4453","{tropical fruit;UHT-milk;brown bread;Instant food products;napkins}"
"4454","{pip fruit;root vegetables;ice cream;rolls/buns;syrup;canned beer}"
"4455","{sausage;tropical fruit;whole milk;dessert;butter milk;yogurt;soft cheese;sliced cheese;ice cream;white bread;coffee;soda;salty snack;long life bakery product;chewing gum;chocolate;napkins;newspapers;shopping bags}"
"4456","{curd;yogurt;domestic eggs;white bread;instant coffee;long life bakery product}"
"4457","{beef;root vegetables;other vegetables;whole milk;curd;cream;domestic eggs;soda;fruit/vegetable juice}"
"4458","{frankfurter;root vegetables;bottled water;canned beer;hygiene articles}"
"4459","{root vegetables;other vegetables;UHT-milk;hard cheese;rolls/buns;sweet spreads;salty snack;popcorn;waffles;cake bar;specialty bar}"
"4460","{frankfurter;pip fruit;root vegetables;other vegetables;whole milk;butter milk;organic products;soda}"
"4461","{hamburger meat;root vegetables;other vegetables;whole milk;soft cheese;house keeping products;newspapers}"
"4462","{vinegar;bottled beer}"
"4463","{tropical fruit;grapes;root vegetables;other vegetables;rolls/buns;tea;bottled beer}"
"4464","{pip fruit}"
"4465","{citrus fruit;curd;semi-finished bread;mustard}"
"4466","{fruit/vegetable juice;seasonal products}"
"4467","{frankfurter;meat;chicken;ice cream;domestic eggs;pastry;pasta;sugar;coffee;newspapers}"
"4468","{whole milk;domestic eggs;oil}"
"4469","{hamburger meat;pastry;misc. beverages}"
"4470","{long life bakery product;candy}"
"4471","{soda;chocolate}"
"4472","{hamburger meat;pip fruit;root vegetables;other vegetables;whole milk;whipped/sour cream;cream cheese ;brown bread;soups;sauces}"
"4473","{frankfurter;whipped/sour cream;coffee}"
"4474","{hard cheese;pastry}"
"4475","{newspapers}"
"4476","{chicken;pork;other vegetables;whole milk;bottled water}"
"4477","{soft cheese;rolls/buns;brown bread;syrup;newspapers;shopping bags}"
"4478","{pip fruit;coffee}"
"4479","{tropical fruit;pip fruit;grapes;whole milk}"
"4480","{hamburger meat;grapes;root vegetables;other vegetables;softener;kitchen towels;pot plants}"
"4481","{finished products;cat food;shopping bags}"
"4482","{pot plants}"
"4483","{whole milk}"
"4484","{tropical fruit;root vegetables;rolls/buns;newspapers}"
"4485","{whole milk;butter;yogurt;rolls/buns;candles;newspapers}"
"4486","{bottled beer}"
"4487","{whole milk;curd;whipped/sour cream}"
"4488","{frankfurter;other vegetables;cream cheese ;sweet spreads;long life bakery product;napkins}"
"4489","{citrus fruit;tropical fruit}"
"4490","{hamburger meat;condensed milk;pastry;fruit/vegetable juice;salty snack;candles}"
"4491","{cream}"
"4492","{sausage;other vegetables;whole milk;dessert;domestic eggs;rolls/buns;white bread;bottled water;soda;chocolate;detergent;shopping bags}"
"4493","{yogurt;UHT-milk;frozen dessert;bottled water;bottled beer}"
"4494","{sausage;root vegetables;other vegetables;whole milk;oil;mustard;specialty chocolate;newspapers}"
"4495","{bottled beer}"
"4496","{misc. beverages}"
"4497","{pickled vegetables}"
"4498","{chicken}"
"4499","{chicken;beef;root vegetables;other vegetables;whole milk;whipped/sour cream;pasta;soda}"
"4500","{herbs;whole milk;pastry}"
"4501","{frankfurter;chocolate}"
"4502","{soda}"
"4503","{white bread;brown bread}"
"4504","{chicken;pork;other vegetables;UHT-milk;white bread;pastry;pasta;soda;specialty bar}"
"4505","{beef;root vegetables;other vegetables;whole milk;domestic eggs;rolls/buns;brown bread;soda;fruit/vegetable juice;red/blush wine;snack products;dishes;light bulbs;shopping bags}"
"4506","{root vegetables;packaged fruit/vegetables;rolls/buns;sugar;liquor}"
"4507","{soda}"
"4508","{yogurt;canned vegetables;pot plants}"
"4509","{white bread;bottled water;soda;bottled beer}"
"4510","{syrup}"
"4511","{whole milk;sugar;cling film/bags}"
"4512","{salt;candy}"
"4513","{whole milk;frozen vegetables;frozen meals;cereals;bottled beer}"
"4514","{other vegetables;yogurt;whipped/sour cream;newspapers}"
"4515","{sausage;rolls/buns;fruit/vegetable juice}"
"4516","{other vegetables;dessert;cream cheese ;rolls/buns;white bread;margarine;salty snack;waffles;specialty bar;female sanitary products;newspapers}"
"4517","{fish;tropical fruit;pip fruit;berries;whole milk;curd;yogurt;whipped/sour cream;condensed milk;instant coffee;long life bakery product;cake bar;napkins}"
"4518","{pip fruit;beverages;frozen vegetables;frozen meals;bottled water;soda;salty snack}"
"4519","{citrus fruit;tropical fruit;pip fruit;root vegetables;onions;other vegetables;whole milk;yogurt;rolls/buns;brown bread;soda;fruit/vegetable juice}"
"4520","{dishes}"
"4521","{meat;curd;yogurt;ice cream;oil;canned fish;soda;fruit/vegetable juice;seasonal products}"
"4522","{pork;onions;other vegetables;whole milk;curd;butter milk;whipped/sour cream;rolls/buns;liquor (appetizer);salty snack;waffles;newspapers}"
"4523","{sausage;pip fruit;root vegetables;whole milk;yogurt;frozen potato products;pasta;bottled water;fruit/vegetable juice}"
"4524","{pip fruit;root vegetables;UHT-milk;condensed milk;margarine;sugar;pudding powder;cocoa drinks;fruit/vegetable juice;chocolate}"
"4525","{bottled water}"
"4526","{whole milk;hard cheese;sugar}"
"4527","{onions}"
"4528","{liver loaf;pip fruit;root vegetables;frozen vegetables;salty snack}"
"4529","{meat;root vegetables;other vegetables;fruit/vegetable juice;white wine}"
"4530","{root vegetables;soda;red/blush wine;prosecco;waffles}"
"4531","{citrus fruit;tropical fruit;root vegetables;other vegetables;whole milk}"
"4532","{soda;detergent}"
"4533","{bottled beer}"
"4534","{dessert;cream cheese ;mayonnaise;domestic eggs;pastry;canned fish;chocolate;cleaner;female sanitary products}"
"4535","{bottled beer}"
"4536","{roll products ;dog food;soda;fruit/vegetable juice;bottled beer;napkins}"
"4537","{sausage;whole milk;condensed milk;semi-finished bread;cat food}"
"4538","{yogurt;margarine;newspapers}"
"4539","{chicken;root vegetables;whole milk;butter;yogurt;sparkling wine;chocolate;softener;female sanitary products;napkins;kitchen towels;house keeping products;newspapers}"
"4540","{meat;pork;pip fruit;root vegetables;other vegetables;whole milk;hard cheese;white bread;pasta;margarine;ketchup;cocoa drinks;chocolate;cling film/bags}"
"4541","{citrus fruit;berries;butter;butter milk;yogurt;sliced cheese;frozen vegetables;frozen chicken;soda}"
"4542","{butter milk;cream cheese ;rolls/buns;misc. beverages;newspapers}"
"4543","{nuts/prunes;other vegetables;whole milk;ice cream;soda;newspapers}"
"4544","{root vegetables;other vegetables;bottled beer}"
"4545","{bottled beer}"
"4546","{chicken;other vegetables;frozen vegetables;canned beer;shopping bags}"
"4547","{butter;curd}"
"4548","{tropical fruit;processed cheese;domestic eggs;soda;bottled beer}"
"4549","{root vegetables;other vegetables;whole milk;whipped/sour cream;hard cheese;frozen vegetables;cat food;dishes;newspapers}"
"4550","{tropical fruit;other vegetables;rolls/buns;salt;margarine;soda;bottled beer;salty snack}"
"4551","{sausage;hamburger meat;citrus fruit;whole milk;pasta;soda;chewing gum;detergent;hygiene articles;kitchen towels}"
"4552","{bottled water}"
"4553","{salty snack;dental care}"
"4554","{beef;other vegetables;chocolate;newspapers;shopping bags}"
"4555","{whole milk;instant coffee;soda}"
"4556","{ham;other vegetables;whole milk;domestic eggs;sweet spreads;misc. beverages;salty snack;hygiene articles;shopping bags}"
"4557","{mayonnaise;candy;newspapers}"
"4558","{frankfurter;ham;other vegetables;processed cheese;rolls/buns;white bread;potato products;coffee;bottled beer;long life bakery product}"
"4559","{hamburger meat;butter;zwieback;Instant food products;soda;misc. beverages}"
"4560","{whipped/sour cream;domestic eggs;candles}"
"4561","{candles}"
"4562","{beverages;misc. beverages}"
"4563","{tropical fruit;pip fruit;yogurt;frozen vegetables;artif. sweetener}"
"4564","{yogurt;bottled water}"
"4565","{whole milk;dessert;whipped/sour cream;ice cream;coffee;soda;bottled beer}"
"4566","{sausage;tropical fruit;other vegetables;butter;butter milk;whipped/sour cream;cream;processed cheese;ice cream;white bread;spices;soda;fruit/vegetable juice;salty snack}"
"4567","{bottled water}"
"4568","{canned beer}"
"4569","{tropical fruit;whole milk;yogurt;whipped/sour cream;rolls/buns;cocoa drinks;bottled water;bottled beer;specialty chocolate}"
"4570","{bottled beer}"
"4571","{pork;root vegetables;herbs;other vegetables;whole milk;processed cheese;domestic eggs;margarine;fruit/vegetable juice;hygiene articles}"
"4572","{salty snack;candy}"
"4573","{rolls/buns}"
"4574","{citrus fruit;other vegetables}"
"4575","{sausage;tropical fruit;other vegetables;whole milk;domestic eggs;white wine;detergent;softener}"
"4576","{tropical fruit;fruit/vegetable juice;candy}"
"4577","{whole milk}"
"4578","{canned beer}"
"4579","{whole milk;whipped/sour cream;pudding powder}"
"4580","{rolls/buns}"
"4581","{sausage;soda;fruit/vegetable juice;salty snack;chewing gum;shopping bags}"
"4582","{tropical fruit;ice cream;frozen dessert}"
"4583","{bottled beer}"
"4584","{domestic eggs;canned beer;shopping bags}"
"4585","{soda;canned beer}"
"4586","{whole milk;dessert;pastry;Instant food products;canned fish;soda;bottled beer;red/blush wine;napkins;candles}"
"4587","{tropical fruit;packaged fruit/vegetables}"
"4588","{ham;hamburger meat;whole milk;processed cheese;white bread;potato products;artif. sweetener;instant coffee;bottled water;soda;fruit/vegetable juice;salty snack;specialty bar;detergent;shopping bags}"
"4589","{brandy;liquor (appetizer)}"
"4590","{hard cheese}"
"4591","{bottled beer;shopping bags}"
"4592","{other vegetables;UHT-milk;cream}"
"4593","{finished products;citrus fruit;tropical fruit;grapes;berries;root vegetables;other vegetables;whole milk;spread cheese;brown bread;pastry;potato products;fruit/vegetable juice;chocolate;pot plants;shopping bags}"
"4594","{misc. beverages}"
"4595","{canned beer}"
"4596","{yogurt;cream cheese ;rolls/buns;chocolate}"
"4597","{bottled water}"
"4598","{tropical fruit;butter milk;baking powder}"
"4599","{frankfurter;curd;frozen potato products;soda;dish cleaner}"
"4600","{yogurt;pastry}"
"4601","{bottled beer;liquor (appetizer);dishes}"
"4602","{tropical fruit;yogurt;cream cheese }"
"4603","{UHT-milk;brown bread;newspapers}"
"4604","{citrus fruit;pip fruit;pickled vegetables;bottled water;newspapers}"
"4605","{newspapers}"
"4606","{soda;canned beer;red/blush wine}"
"4607","{tropical fruit;dessert;bottled water;soda;bottled beer;white wine;napkins}"
"4608","{bottled water;bottled beer}"
"4609","{canned beer;chewing gum}"
"4610","{onions;other vegetables;whole milk;yogurt;domestic eggs;pastry;dishes;shopping bags}"
"4611","{pastry;soda}"
"4612","{tropical fruit;yogurt;sliced cheese;brown bread;margarine;bottled water;soda;candy;newspapers}"
