"transaction","items"
"8170","{root vegetables;whole milk;long life bakery product;cling film/bags}"
"8171","{sausage;rolls/buns;coffee}"
"8172","{rolls/buns}"
"8173","{tropical fruit;yogurt;bottled water;specialty chocolate}"
"8174","{citrus fruit;grapes;onions;other vegetables;whipped/sour cream;cream cheese ;mayonnaise;frozen vegetables;ice cream;mustard;spices;preservation products;coffee;cocoa drinks;long life bakery product;waffles;chocolate;candy;dish cleaner;abrasive cleaner;hygiene articles}"
"8175","{salty snack}"
"8176","{other vegetables;rice;coffee;specialty chocolate;seasonal products;hygiene articles;shopping bags}"
"8177","{canned beer}"
"8178","{chocolate}"
"8179","{onions;whipped/sour cream;newspapers}"
"8180","{male cosmetics}"
"8181","{chicken;frozen vegetables;chocolate;chocolate marshmallow;shopping bags}"
"8182","{whole milk;soda;fruit/vegetable juice;shopping bags}"
"8183","{white bread}"
"8184","{pork;other vegetables;whipped/sour cream;frozen vegetables;cereals;cat food;fruit/vegetable juice;cake bar;specialty chocolate;specialty bar;napkins;newspapers;shopping bags}"
"8185","{meat;whole milk;domestic eggs;pastry}"
"8186","{other vegetables;condensed milk;soda;misc. beverages}"
"8187","{whole milk;frozen meals;white bread;bottled water;soda;candy}"
"8188","{beef;root vegetables;other vegetables;bottled water;soda}"
"8189","{frankfurter;sausage;yogurt;white bread;bottled water;soda;shopping bags}"
"8190","{sausage;ham;curd;soda;cake bar;shopping bags}"
"8191","{pastry;bottled beer}"
"8192","{napkins}"
"8193","{canned fish;canned beer;chocolate}"
"8194","{bottled beer}"
"8195","{citrus fruit;tropical fruit;brown bread;sauces;soda;napkins;shopping bags}"
"8196","{whole milk;brown bread;salt;sugar}"
"8197","{whole milk;butter}"
"8198","{frankfurter;onions;butter milk;spices;soups;soda;shopping bags}"
"8199","{tropical fruit;grapes;frozen meals;brown bread;bottled water;soda;shopping bags}"
"8200","{coffee}"
"8201","{herbs;butter;chocolate}"
"8202","{sausage;root vegetables;specialty bar;seasonal products}"
"8203","{root vegetables;herbs;whole milk;curd;frozen vegetables;frozen dessert;sweet spreads;fruit/vegetable juice}"
"8204","{curd;yogurt;white bread;brown bread;flour;artif. sweetener;red/blush wine;shopping bags}"
"8205","{dessert;misc. beverages;fruit/vegetable juice;popcorn;shopping bags}"
"8206","{tropical fruit;pip fruit;whole milk;rolls/buns;brown bread;soda;chewing gum}"
"8207","{pastry}"
"8208","{rolls/buns;soda;female sanitary products}"
"8209","{rolls/buns;bottled beer}"
"8210","{hamburger meat;other vegetables;curd;rolls/buns;bottled beer;specialty bar}"
"8211","{pastry}"
"8212","{pip fruit}"
"8213","{bottled water;bottled beer;white wine}"
"8214","{cream cheese ;brown bread;meat spreads;soda;chocolate}"
"8215","{root vegetables;yogurt;soda;popcorn}"
"8216","{canned beer;salty snack;chocolate}"
"8217","{whole milk;butter;yogurt;rolls/buns;coffee;fruit/vegetable juice;detergent}"
"8218","{rolls/buns}"
"8219","{root vegetables}"
"8220","{yogurt;flour;sugar;baking powder}"
"8221","{yogurt;whipped/sour cream;UHT-milk;fruit/vegetable juice;newspapers}"
"8222","{sausage;rolls/buns;margarine}"
"8223","{other vegetables;cream cheese ;rolls/buns;margarine;specialty fat;soups}"
"8224","{coffee}"
"8225","{beef;frozen vegetables;rolls/buns;soda;chewing gum;photo/film}"
"8226","{beef;sugar;soda;long life bakery product;hygiene articles}"
"8227","{pip fruit;processed cheese;bottled water}"
"8228","{tropical fruit;pip fruit;frozen meals;softener}"
"8229","{pork;bottled water}"
"8230","{pork;whole milk;yogurt;cream cheese ;rolls/buns;pudding powder}"
"8231","{sausage;beef;hamburger meat;pip fruit;root vegetables;herbs;other vegetables;yogurt;mayonnaise;rolls/buns;dishes}"
"8232","{chicken;root vegetables;whole milk}"
"8233","{frankfurter;beef;other vegetables;pasta;margarine;canned fish;dishes;cling film/bags}"
"8234","{other vegetables;whole milk;dessert;cream cheese ;sugar;dishes}"
"8235","{pip fruit;herbs;other vegetables;whipped/sour cream;oil;bottled water}"
"8236","{whole milk;yogurt;bottled water}"
"8237","{pork;shopping bags}"
"8238","{pip fruit;newspapers}"
"8239","{pip fruit;other vegetables;whipped/sour cream;sliced cheese;rolls/buns}"
"8240","{frankfurter;meat;chicken;pip fruit;root vegetables;onions;whipped/sour cream;domestic eggs;potato products;shopping bags}"
"8241","{canned beer}"
"8242","{butter;yogurt;frozen vegetables;frozen potato products;pickled vegetables}"
"8243","{sausage;citrus fruit;tropical fruit;pip fruit;other vegetables;whole milk;butter;processed cheese;spread cheese;pastry;canned fish;bottled water;red/blush wine;salty snack;long life bakery product;chocolate;female sanitary products;rubbing alcohol;hygiene articles;napkins;house keeping products}"
"8244","{meat;citrus fruit;yogurt;condensed milk;frozen vegetables;spices;meat spreads;canned fish}"
"8245","{dog food;detergent;hygiene articles;napkins;newspapers;pot plants}"
"8246","{sausage;hamburger meat;margarine}"
"8247","{sausage;soda}"
"8248","{pip fruit;whole milk;cream cheese ;rolls/buns;chocolate;cooking chocolate}"
"8249","{tropical fruit;whole milk;frozen meals;frozen dessert;rolls/buns;soda;bottled beer;cake bar;detergent;pot plants}"
"8250","{beef;citrus fruit;curd;butter milk}"
"8251","{whole milk;butter}"
"8252","{citrus fruit;rolls/buns}"
"8253","{pastry;soda}"
"8254","{frozen meals}"
"8255","{sausage;tropical fruit;root vegetables;whole milk;yogurt;frozen potato products;pastry}"
"8256","{organic sausage;pork;root vegetables;curd;bottled water}"
"8257","{whole milk;rolls/buns;pastry}"
"8258","{beverages;cream cheese }"
"8259","{citrus fruit;yogurt;newspapers}"
"8260","{berries;yogurt;whipped/sour cream;sugar}"
"8261","{meat;butter;yogurt;rolls/buns;bottled water;soda;fruit/vegetable juice}"
"8262","{bottled beer}"
"8263","{rolls/buns;soda}"
"8264","{whole milk;rolls/buns;flour;vinegar;shopping bags}"
"8265","{citrus fruit;tropical fruit;whole milk;rolls/buns;brown bread;bottled water}"
"8266","{beverages;processed cheese;coffee}"
"8267","{tropical fruit}"
"8268","{other vegetables;sliced cheese;rolls/buns;bottled water;newspapers}"
"8269","{rolls/buns}"
"8270","{curd cheese;rolls/buns}"
"8271","{grapes;UHT-milk}"
"8272","{canned beer}"
"8273","{pip fruit;other vegetables;margarine;photo/film}"
"8274","{canned beer;shopping bags}"
"8275","{soda}"
"8276","{berries;dessert;rolls/buns;soda;white wine}"
"8277","{pip fruit}"
"8278","{pork;root vegetables;other vegetables;whole milk;butter milk;yogurt;whipped/sour cream;rolls/buns;flour;cat food;instant coffee;waffles;cling film/bags;newspapers}"
"8279","{rolls/buns;bottled water}"
"8280","{sausage;bottled water;white wine}"
"8281","{sausage;tropical fruit;onions;other vegetables;butter milk;curd cheese;rolls/buns;bottled water;abrasive cleaner}"
"8282","{pip fruit;rolls/buns;soda;skin care}"
"8283","{frankfurter;onions;liquor (appetizer);napkins}"
"8284","{butter}"
"8285","{organic sausage;tropical fruit;packaged fruit/vegetables;whole milk;curd;yogurt;soft cheese;curd cheese;frozen vegetables;domestic eggs;rolls/buns;pastry;margarine;bottled water;cooking chocolate;hygiene articles;shopping bags}"
"8286","{sausage;hamburger meat;whole milk;butter;curd;processed cheese;pastry;Instant food products;shopping bags}"
"8287","{frankfurter;sausage;other vegetables;rolls/buns;bottled water;bottled beer}"
"8288","{chicken;citrus fruit;other vegetables;whole milk;female sanitary products}"
"8289","{whole milk;pastry}"
"8290","{berries;whole milk;curd;yogurt;rolls/buns;pastry;honey;chocolate}"
"8291","{beef}"
"8292","{rolls/buns;bottled beer}"
"8293","{root vegetables;bottled water;white wine}"
"8294","{tropical fruit;root vegetables;curd;yogurt;tea;newspapers}"
"8295","{beef;other vegetables;whole milk;domestic eggs;margarine;pickled vegetables;bottled water;bottled beer;newspapers}"
"8296","{beef}"
"8297","{hamburger meat;other vegetables}"
"8298","{citrus fruit}"
"8299","{domestic eggs;rolls/buns;flour}"
"8300","{dessert;specialty bar;newspapers}"
"8301","{beverages;frozen fish;salt;sugar;snack products}"
"8302","{sausage;ham;beef;citrus fruit;berries;yogurt;spread cheese;rolls/buns;cat food;chocolate;specialty bar}"
"8303","{rolls/buns;margarine;bottled water;soda;red/blush wine;chocolate;candy;newspapers}"
"8304","{frankfurter;rolls/buns}"
"8305","{citrus fruit;tropical fruit;whole milk;yogurt}"
"8306","{pork;beef;grapes;berries;root vegetables;other vegetables;packaged fruit/vegetables;yogurt;newspapers}"
"8307","{liver loaf;curd;rolls/buns;newspapers}"
"8308","{frankfurter;frozen dessert;rolls/buns}"
"8309","{whole milk;napkins}"
"8310","{whole milk;shopping bags}"
"8311","{pork;margarine;candy}"
"8312","{pasta}"
"8313","{fruit/vegetable juice}"
"8314","{chicken;root vegetables;other vegetables;rolls/buns;canned beer;red/blush wine}"
"8315","{grapes;pastry;coffee;hair spray}"
"8316","{bottled water;canned beer}"
"8317","{frankfurter;rolls/buns;brown bread;coffee;bottled water;soda;canned beer;chocolate;cling film/bags;shopping bags}"
"8318","{frankfurter;hamburger meat;root vegetables;whole milk;yogurt;brown bread;chocolate}"
"8319","{shopping bags}"
"8320","{whole milk;yogurt;frozen fish;domestic eggs;white bread;margarine;fruit/vegetable juice;waffles;skin care;hygiene articles}"
"8321","{sausage;tropical fruit;pip fruit;specialty cheese;ice cream;rolls/buns;soda;specialty chocolate;candy;shopping bags}"
"8322","{frozen vegetables}"
"8323","{pip fruit;cream cheese ;rolls/buns}"
"8324","{tropical fruit;whole milk;yogurt}"
"8325","{whipped/sour cream;frozen vegetables;flour;flower (seeds)}"
"8326","{tropical fruit;pasta;candy}"
"8327","{frankfurter;pip fruit;other vegetables;yogurt}"
"8328","{bottled water}"
"8329","{berries;whipped/sour cream}"
"8330","{chicken;whole milk;rolls/buns;pasta}"
"8331","{beverages}"
"8332","{other vegetables;chocolate}"
"8333","{white bread;misc. beverages;bottled beer;liquor;red/blush wine}"
"8334","{frankfurter;yogurt;domestic eggs}"
"8335","{coffee}"
"8336","{frankfurter;sausage}"
"8337","{sausage;rolls/buns}"
"8338","{sausage;hard cheese;shopping bags}"
"8339","{soda;chocolate;candy}"
"8340","{tropical fruit;root vegetables;whole milk;white bread;coffee}"
"8341","{misc. beverages}"
"8342","{tropical fruit;beverages}"
"8343","{butter;rolls/buns;soda;specialty bar}"
"8344","{curd;cream cheese ;rolls/buns;flour;margarine;cat food;coffee;whisky}"
"8345","{other vegetables;rolls/buns;canned fish}"
"8346","{specialty bar}"
"8347","{curd;zwieback}"
"8348","{beef;whole milk;yogurt;brown bread;dish cleaner;dishes}"
"8349","{whole milk;shopping bags}"
"8350","{frozen meals;cereals;shopping bags}"
"8351","{bottled water}"
"8352","{soda;chocolate}"
"8353","{pork;beef;root vegetables;other vegetables;UHT-milk;spread cheese;mayonnaise;domestic eggs;zwieback;toilet cleaner;newspapers;shopping bags}"
"8354","{whole milk;curd;rolls/buns;bottled water;fruit/vegetable juice;soap}"
"8355","{shopping bags}"
"8356","{sausage;pork;beef;hamburger meat;root vegetables;whole milk;butter;dessert;pasta;cat food;chocolate;candles;shopping bags}"
"8357","{soft cheese;cream cheese ;rolls/buns;soda;specialty bar}"
"8358","{sausage;other vegetables;rolls/buns}"
"8359","{frozen vegetables;specialty chocolate}"
"8360","{chicken;berries;root vegetables;whole milk;butter;whipped/sour cream;cereals;napkins;photo/film;flower (seeds)}"
"8361","{yogurt;frozen vegetables;cat food}"
"8362","{whole milk;yogurt;pastry;waffles}"
"8363","{rolls/buns}"
"8364","{sausage;rolls/buns;mustard}"
"8365","{yogurt;dog food;newspapers}"
"8366","{pork;fish;citrus fruit;whole milk;long life bakery product}"
"8367","{tropical fruit;berries;whipped/sour cream}"
"8368","{sausage;tropical fruit;pip fruit;root vegetables;whole milk;yogurt;rolls/buns;pastry;oil;coffee;specialty bar;dish cleaner;cling film/bags;shopping bags}"
"8369","{canned beer}"
"8370","{grapes;cream cheese }"
"8371","{tropical fruit;whole milk;yogurt;whipped/sour cream;frozen meals;rolls/buns;waffles;newspapers;photo/film}"
"8372","{yogurt}"
"8373","{frankfurter;tropical fruit}"
"8374","{sausage;bottled beer;liquor}"
"8375","{pork;tropical fruit;pip fruit;bottled water;bottled beer}"
"8376","{soda}"
"8377","{baking powder;misc. beverages;shopping bags}"
"8378","{misc. beverages}"
"8379","{processed cheese;soda}"
"8380","{pork;hamburger meat;other vegetables;brown bread;Instant food products}"
"8381","{cream cheese ;rolls/buns;zwieback;dental care;napkins;newspapers}"
"8382","{tropical fruit;onions;other vegetables;whole milk;canned vegetables;soda;fruit/vegetable juice;chocolate;newspapers}"
"8383","{jam;cocoa drinks;soda}"
"8384","{pip fruit;hygiene articles}"
"8385","{frankfurter;sausage;meat;whole milk;beverages;hard cheese;fruit/vegetable juice;bottled beer;sparkling wine;specialty chocolate;napkins}"
"8386","{flower soil/fertilizer}"
"8387","{whole milk;canned fish;cat food;pet care}"
"8388","{pork;other vegetables;whole milk;brown bread;pastry;soda;misc. beverages}"
"8389","{frankfurter;bottled water;misc. beverages;bottled beer;sparkling wine}"
"8390","{chewing gum;shopping bags}"
"8391","{chicken;other vegetables;whole milk;pastry}"
"8392","{frozen vegetables}"
"8393","{rolls/buns}"
"8394","{yogurt;tea;fruit/vegetable juice;hygiene articles}"
"8395","{frankfurter;sausage;tropical fruit;pip fruit;grapes;other vegetables;whole milk;butter;yogurt;frozen meals;brown bread;red/blush wine}"
"8396","{sausage;soda}"
"8397","{citrus fruit;onions;UHT-milk;brown bread;pastry;bottled water;fruit/vegetable juice}"
"8398","{other vegetables;whole milk;yogurt;frozen meals;semi-finished bread;cat food;soda;fruit/vegetable juice;chocolate;hygiene articles;newspapers}"
"8399","{whole milk;beverages}"
"8400","{beverages;rolls/buns;chewing gum}"
"8401","{Instant food products}"
"8402","{hamburger meat;other vegetables}"
"8403","{sausage;rolls/buns;cookware}"
"8404","{tropical fruit;grapes;yogurt;frozen vegetables;ice cream;rolls/buns;sugar;soda;detergent;dish cleaner}"
"8405","{whole milk;butter milk;hard cheese;coffee;chocolate;candy}"
"8406","{pastry;oil}"
"8407","{whole milk;curd;whipped/sour cream;cream cheese ;white bread;oil;sugar;baking powder;cat food;chocolate;cooking chocolate}"
"8408","{pasta;sauces;cake bar;chocolate marshmallow;napkins}"
"8409","{whole milk;yogurt;frozen meals;pasta;sauces;canned fish;cat food;pet care;soda}"
"8410","{processed cheese;bottled water;soda}"
"8411","{brown bread}"
"8412","{frozen meals;canned beer;red/blush wine;salty snack}"
"8413","{sausage;citrus fruit;tropical fruit;grapes;other vegetables;packaged fruit/vegetables;butter;curd;butter milk;yogurt;brown bread;flour;fruit/vegetable juice;waffles;candy;shopping bags}"
"8414","{tropical fruit;frozen meals;rolls/buns;candy;newspapers}"
"8415","{beef;other vegetables;waffles;pot plants}"
"8416","{bottled beer;liquor}"
"8417","{domestic eggs}"
"8418","{sparkling wine}"
"8419","{soda;misc. beverages;salty snack;chewing gum}"
"8420","{sausage;rolls/buns;soda}"
"8421","{chocolate}"
"8422","{tropical fruit;whole milk;butter milk;cereals;fruit/vegetable juice;long life bakery product;chocolate;cleaner;newspapers}"
"8423","{beef;tropical fruit;yogurt}"
"8424","{brown bread;pastry;semi-finished bread;dog food;coffee;fruit/vegetable juice}"
"8425","{whole milk}"
"8426","{berries;other vegetables;yogurt;UHT-milk;rolls/buns;bottled water;soda}"
"8427","{citrus fruit;pip fruit;butter;spices;bottled beer;long life bakery product;specialty bar;dental care;napkins;light bulbs}"
"8428","{soda;specialty chocolate}"
"8429","{hamburger meat;grapes;whole milk;pastry;pasta;soda}"
"8430","{chocolate}"
"8431","{grapes;liquor (appetizer);waffles}"
"8432","{tropical fruit;root vegetables;other vegetables;napkins}"
"8433","{yogurt}"
"8434","{hamburger meat;root vegetables;yogurt;whipped/sour cream;sliced cheese;pasta;soda;nut snack;waffles}"
"8435","{nuts/prunes;brandy}"
"8436","{pastry;soda;salty snack;popcorn;skin care}"
"8437","{sausage;other vegetables;yogurt;cat food;chewing gum;female sanitary products;cling film/bags}"
"8438","{sausage;ham;bottled water}"
"8439","{berries}"
"8440","{canned beer}"
"8441","{citrus fruit}"
"8442","{rolls/buns;soda}"
"8443","{rolls/buns;soda;detergent}"
"8444","{chicken;other vegetables;rolls/buns;shopping bags}"
"8445","{frankfurter;hamburger meat;whole milk;coffee;bottled water;bottled beer;waffles;chocolate}"
"8446","{rolls/buns}"
"8447","{citrus fruit;whole milk;yogurt;whipped/sour cream;cat food;specialty chocolate;female sanitary products}"
"8448","{soda}"
"8449","{beef;root vegetables;curd;dessert;waffles;dish cleaner}"
"8450","{waffles}"
"8451","{whole milk;salty snack}"
"8452","{finished products}"
"8453","{whole milk;soda;cleaner}"
"8454","{ham;berries;root vegetables;whole milk;whipped/sour cream;brown bread;pastry;bottled beer;napkins}"
"8455","{processed cheese;brown bread}"
"8456","{sausage;root vegetables}"
"8457","{curd;dishes}"
"8458","{bottled beer}"
"8459","{dessert;frozen dessert;oil;soda;salty snack;chocolate;dental care}"
"8460","{chicken;other vegetables}"
"8461","{bottled beer}"
"8462","{finished products;pip fruit;yogurt;chocolate}"
"8463","{rolls/buns;soda;cleaner}"
"8464","{soda;rum}"
"8465","{fruit/vegetable juice;pot plants;shopping bags}"
"8466","{other vegetables;dessert;white bread}"
"8467","{frozen vegetables;frozen fish}"
"8468","{tropical fruit;whole milk;curd;dessert;pastry;soda;misc. beverages;hygiene articles;shopping bags}"
"8469","{frozen vegetables;seasonal products;hygiene articles;newspapers}"
"8470","{hamburger meat;soda;rum;pot plants}"
"8471","{frankfurter;meat;other vegetables;mustard;bottled beer;detergent}"
"8472","{yogurt;rolls/buns}"
"8473","{other vegetables;yogurt;whipped/sour cream;waffles}"
"8474","{sausage;hamburger meat;onions;other vegetables;rolls/buns;coffee}"
"8475","{sausage;berries;curd;whipped/sour cream;long life bakery product;specialty bar}"
"8476","{rolls/buns;soda}"
"8477","{chicken;long life bakery product;chocolate}"
"8478","{frankfurter;tropical fruit;whole milk;rolls/buns;bottled water;napkins}"
"8479","{whole milk;hard cheese;bottled beer}"
"8480","{bottled beer;liquor}"
"8481","{shopping bags}"
"8482","{sausage;whole milk;sauces}"
"8483","{soda}"
"8484","{tropical fruit;pip fruit}"
"8485","{pork;frozen vegetables}"
"8486","{frozen dessert;soda}"
"8487","{beef;root vegetables;white wine;shopping bags}"
"8488","{frankfurter;sausage;Instant food products}"
"8489","{bottled beer}"
"8490","{pip fruit;berries;root vegetables;whole milk;curd;whipped/sour cream;soft cheese;frozen vegetables;pastry}"
"8491","{chicken;berries;frozen vegetables;coffee;cling film/bags}"
"8492","{frankfurter;sausage;pastry}"
"8493","{yogurt;frozen fish;rolls/buns}"
"8494","{ice cream;white bread;candles}"
"8495","{tropical fruit;dishes}"
"8496","{pasta;soda;long life bakery product}"
"8497","{root vegetables;whole milk;whipped/sour cream;domestic eggs;soda;fruit/vegetable juice}"
"8498","{other vegetables;butter;whipped/sour cream;processed cheese;frozen fruits}"
"8499","{soda;canned beer;newspapers}"
"8500","{soda;misc. beverages;waffles;shopping bags}"
"8501","{grapes;berries;butter milk;yogurt;pot plants}"
"8502","{specialty chocolate}"
"8503","{pip fruit;ice cream;bottled water;soda;fruit/vegetable juice;bottled beer}"
"8504","{chewing gum;chocolate;specialty chocolate}"
"8505","{frankfurter;chicken;citrus fruit;root vegetables;packaged fruit/vegetables;domestic eggs;brown bread;artif. sweetener;bottled water;waffles;napkins}"
"8506","{frankfurter;root vegetables;onions;whole milk;curd;butter milk;frozen meals;oil;soda;fruit/vegetable juice;shopping bags}"
"8507","{frankfurter;citrus fruit;tropical fruit;yogurt;bottled water}"
"8508","{sausage;whole milk;rolls/buns}"
"8509","{meat;tropical fruit;butter;yogurt;soft cheese;cat food;bottled water;specialty chocolate;dish cleaner;napkins;shopping bags}"
"8510","{domestic eggs}"
"8511","{waffles;chocolate}"
"8512","{yogurt;white wine}"
"8513","{ice cream}"
"8514","{whole milk}"
"8515","{sausage;citrus fruit;tropical fruit;other vegetables;curd;pastry;soda;chocolate;hygiene articles}"
"8516","{long life bakery product;detergent}"
"8517","{sausage;rolls/buns;soda}"
"8518","{white wine}"
"8519","{frankfurter;whole milk;processed cheese;ice cream;canned fish;hygiene articles;cling film/bags}"
"8520","{pastry;margarine;candy}"
"8521","{chewing gum}"
"8522","{organic sausage;soda}"
"8523","{chicken;pork;fruit/vegetable juice;canned beer;waffles}"
"8524","{coffee;shopping bags}"
"8525","{specialty bar}"
"8526","{popcorn}"
"8527","{whole milk;condensed milk}"
"8528","{frankfurter;beef;hamburger meat;grapes;whole milk;whipped/sour cream;mayonnaise;frozen vegetables;coffee;soda;misc. beverages;long life bakery product;hygiene articles}"
"8529","{pork;citrus fruit;root vegetables;whole milk;dessert;yogurt;frozen fish;margarine;pickled vegetables;chocolate;candy}"
"8530","{tropical fruit;whole milk;chocolate;newspapers}"
"8531","{curd;chewing gum;specialty chocolate;newspapers}"
"8532","{other vegetables;sliced cheese;hard cheese;rolls/buns;pastry}"
"8533","{sausage;pork;beef;tropical fruit;root vegetables;onions;other vegetables;UHT-milk;sliced cheese;mustard;ketchup;bottled water;soda;waffles;chocolate marshmallow;bathroom cleaner;napkins;newspapers}"
"8534","{yogurt;frozen meals;long life bakery product;chocolate;shopping bags}"
"8535","{sausage;pip fruit;other vegetables;whole milk;hard cheese;rolls/buns;canned vegetables;candy;napkins}"
"8536","{citrus fruit;tropical fruit;UHT-milk;bottled water;soda;misc. beverages;fruit/vegetable juice;napkins}"
"8537","{whole milk;frozen meals;ice cream}"
"8538","{other vegetables;frozen vegetables;ice cream}"
"8539","{frankfurter;curd;soda}"
"8540","{meat;chicken;beef;whole milk;whipped/sour cream;fruit/vegetable juice}"
"8541","{cat food;soda;specialty chocolate}"
"8542","{dog food;bottled water;liquor;dish cleaner}"
"8543","{pork;citrus fruit;other vegetables;yogurt}"
"8544","{dessert;canned beer}"
"8545","{whole milk;bottled water}"
"8546","{chicken}"
"8547","{flower soil/fertilizer}"
"8548","{yogurt;cake bar}"
"8549","{chicken;beef;other vegetables;whole milk;UHT-milk;frozen vegetables;pasta;vinegar;baking powder;detergent;cleaner;house keeping products}"
"8550","{butter milk;rolls/buns}"
"8551","{coffee;soda;chocolate marshmallow}"
"8552","{frozen meals;ice cream;brown bread}"
"8553","{salty snack}"
"8554","{sausage;citrus fruit;root vegetables;onions;curd;yogurt;whipped/sour cream;bottled beer}"
"8555","{white bread;white wine}"
"8556","{pip fruit;UHT-milk;semi-finished bread;margarine;bottled water;cake bar;shopping bags}"
"8557","{tropical fruit;bottled water}"
"8558","{prosecco}"
"8559","{packaged fruit/vegetables}"
"8560","{citrus fruit;whole milk;yogurt;processed cheese;frozen vegetables;rolls/buns;margarine;chocolate}"
"8561","{whole milk}"
"8562","{butter}"
"8563","{pork;root vegetables;soda;salty snack}"
"8564","{other vegetables;UHT-milk;sugar;soda}"
"8565","{other vegetables;spread cheese;brown bread;margarine;bottled beer}"
"8566","{meat;yogurt;napkins}"
"8567","{whole milk;soft cheese;rolls/buns;prosecco;napkins;pot plants}"
"8568","{canned beer;red/blush wine}"
"8569","{tropical fruit;white bread;spices;Instant food products}"
"8570","{tropical fruit;yogurt;beverages;hard cheese;frozen meals;rolls/buns;tea;bottled water;light bulbs;shopping bags}"
"8571","{sweet spreads}"
"8572","{brandy}"
"8573","{tropical fruit;brandy}"
"8574","{sausage;pork;tropical fruit;other vegetables;butter milk;UHT-milk;soda}"
"8575","{canned beer}"
"8576","{coffee;bottled water;canned beer;napkins}"
"8577","{pork}"
"8578","{dish cleaner}"
"8579","{canned beer}"
"8580","{rolls/buns;soda}"
"8581","{pastry;soda;waffles}"
"8582","{misc. beverages}"
"8583","{misc. beverages}"
"8584","{frozen dessert;bottled water;soda;bottled beer}"
"8585","{meat;turkey;hamburger meat;citrus fruit;root vegetables;herbs;other vegetables;whole milk;curd;yogurt;rolls/buns;pastry;rice;baking powder}"
"8586","{citrus fruit;whole milk;yogurt;rolls/buns;bottled water}"
"8587","{rolls/buns}"
"8588","{canned vegetables}"
"8589","{canned beer}"
"8590","{whole milk;baking powder;bottled water;newspapers}"
"8591","{chicken;grapes;whole milk;yogurt;rolls/buns;bottled water;fruit/vegetable juice;bottled beer;chocolate;napkins}"
"8592","{whole milk;dessert}"
"8593","{tropical fruit;whole milk;cream cheese ;processed cheese;rolls/buns;shopping bags}"
"8594","{citrus fruit;curd;sliced cheese;bottled water;napkins}"
"8595","{canned beer}"
"8596","{rolls/buns;canned beer}"
"8597","{pip fruit;whole milk;rolls/buns;sugar;baking powder}"
"8598","{pork;whole milk;whipped/sour cream;bottled beer;dishes}"
"8599","{canned beer}"
"8600","{citrus fruit;tropical fruit;pip fruit;onions;other vegetables;whole milk;yogurt;frozen fish;long life bakery product;newspapers;pot plants}"
"8601","{margarine;candles;newspapers}"
"8602","{chicken;root vegetables;UHT-milk;specialty chocolate}"
"8603","{meat;root vegetables;onions;herbs;other vegetables;whole milk;flour;soda;seasonal products}"
"8604","{root vegetables;other vegetables;whole milk;flour}"
"8605","{ham;grapes;napkins}"
"8606","{newspapers}"
"8607","{whipped/sour cream;rolls/buns;pastry;bottled water}"
"8608","{cream cheese ;zwieback}"
"8609","{citrus fruit;root vegetables;butter milk;oil}"
"8610","{pip fruit;other vegetables;whole milk;domestic eggs;pastry;pasta;soups;dish cleaner}"
"8611","{beef;root vegetables;other vegetables;whipped/sour cream;rolls/buns;bottled beer}"
"8612","{yogurt;cream cheese ;pastry;canned fish;fruit/vegetable juice;shopping bags}"
"8613","{sausage;rolls/buns;bottled beer}"
"8614","{processed cheese}"
"8615","{domestic eggs;white wine}"
"8616","{sausage;chicken;beef;citrus fruit;tropical fruit;root vegetables;onions;herbs;other vegetables;whole milk;butter;curd;yogurt;frozen meals;domestic eggs}"
"8617","{bottled water;bottled beer;specialty bar}"
"8618","{newspapers}"
"8619","{canned beer}"
"8620","{tropical fruit;dessert;yogurt;UHT-milk;domestic eggs;rolls/buns;brown bread;canned vegetables;meat spreads;cake bar;chocolate;specialty chocolate}"
"8621","{curd;yogurt}"
"8622","{pip fruit}"
"8623","{beverages;rolls/buns}"
"8624","{soda;fruit/vegetable juice;long life bakery product}"
"8625","{newspapers}"
"8626","{frankfurter;meat;pork;grapes;root vegetables;whipped/sour cream;domestic eggs}"
